M,d,A_star,rho_star
1,7.977214611872147,0.624463873756691,0.624463873756691
1,8.0,0.6255334658057513,0.6255334658057513
2,3.01,0.168009459230827,0.0840047296154135
2,3.0327853881278535,0.2653447793765273,0.13267238968826364
2,3.0555707762557076,0.3322396470187814,0.1661198235093907
2,3.0783561643835613,0.3855885460744823,0.19279427303724114
2,3.1011415525114154,0.43078280141945563,0.21539140070972781
2,3.123926940639269,0.4703743186898608,0.2351871593449304
2,3.1467123287671233,0.5058113794736735,0.25290568973683675
2,3.169497716894977,0.5380098829301112,0.2690049414650556
2,3.192283105022831,0.5675927178874959,0.28379635894374794
2,3.2150684931506848,0.5950063066642678,0.2975031533321339
2,3.2378538812785385,0.6205835599270979,0.31029177996354895
2,3.2606392694063926,0.644580597616926,0.322290298808463
2,3.2834246575342463,0.6671994761096736,0.3335997380548368
2,3.3062100456621004,0.6886029352971292,0.3443014676485646
2,3.328995433789954,0.7089243444810346,0.3544621722405173
2,3.3517808219178082,0.7282746296551125,0.36413731482755624
2,3.374566210045662,0.7467472316706306,0.3733736158353153
2,3.3973515981735156,0.764421739013504,0.382210869506752
2,3.4201369863013698,0.7813666040791633,0.3906833020395816
2,3.4429223744292234,0.7976412106251287,0.39882060531256436
2,3.4657077625570776,0.8132974723204717,0.40664873616023584
2,3.4884931506849313,0.8283810861650969,0.41419054308254843
2,3.5112785388127854,0.8429325277009269,0.42146626385046343
2,3.534063926940639,0.8569878501939834,0.4284939250969917
2,3.556849315068493,0.8705793330105209,0.43528966650526046
2,3.579634703196347,0.8837360125757778,0.4418680062878889
2,3.602420091324201,0.8964841209048544,0.4482420604524272
2,3.6252054794520547,0.9088474506435282,0.4544237253217641
2,3.6479908675799084,0.920847661135492,0.460423830567746
2,3.6707762557077626,0.9325045367610114,0.4662522683805057
2,3.6935616438356162,0.9438362063426976,0.4719181031713488
2,3.71634703196347,0.9548593305605131,0.47742966528025654
2,3.739132420091324,0.9655892629009639,0.48279463145048196
2,3.761917808219178,0.9760401885720893,0.48802009428604465
2,3.784703196347032,0.9862252449646373,0.49311262248231863
2,3.8074885844748856,0.9961566265719434,0.4980783132859717
2,3.8302739726027397,1.0058456767528314,0.5029228383764157
2,3.8530593607305934,1.0153029683011965,0.5076514841505982
2,3.875844748858447,1.024538374448713,0.5122691872243565
2,3.8986301369863012,1.0335611316547866,0.5167805658273933
2,3.9214155251141554,1.0423798953171757,0.5211899476585878
2,3.944200913242009,1.051002789356127,0.5255013946780634
2,3.9669863013698627,1.0594374504769706,0.5297187252384853
2,3.989771689497717,1.0676910677939566,0.5338455338969783
2,4.012557077625571,1.0757704183968977,0.5378852091984488
2,4.035342465753424,1.0836818993578954,0.5418409496789477
2,4.058127853881278,1.0914315566049078,0.5457157783024539
2,4.0809132420091325,1.0990251110297153,0.5495125555148577
2,4.103698630136986,1.1064679821479062,0.5532339910739531
2,4.12648401826484,1.1137653095862527,0.5568826547931264
2,4.149269406392694,1.120921972636913,0.5604609863184565
2,4.172054794520548,1.1279426080873178,0.5639713040436589
2,4.194840182648402,1.134831626508422,0.567415813254211
2,4.2176255707762556,1.1415932271615168,0.5707966135807584
2,4.24041095890411,1.1482314116644778,0.5741157058322389
2,4.263196347031963,1.1547499965416343,0.5773749982708172
2,4.285981735159817,1.1611526247670108,0.5805763123835054
2,4.308767123287671,1.1674427763981032,0.5837213881990516
2,4.331552511415525,1.1736237783865109,0.5868118891932554
2,4.3543378995433795,1.1796988136421445,0.5898494068210722
2,4.377123287671233,1.1856709294194496,0.5928354647097248
2,4.399908675799087,1.1915430450867777,0.5957715225433888
2,4.42269406392694,1.197317959333581,0.5986589796667905
2,4.445479452054794,1.2029983568645084,0.6014991784322542
2,4.468264840182648,1.2085868146244463,0.6042934073122231
2,4.4910502283105025,1.2140858075941676,0.6070429037970838
2,4.513835616438357,1.2194977141923202,0.6097488570961601
2,4.53662100456621,1.224824821316042,0.612412410658021
2,4.559406392694064,1.2300693290493572,0.6150346645246786
2,4.582191780821917,1.2352333550658283,0.6176166775329142
2,4.604977168949771,1.2403189387494016,0.6201594693747008
2,4.6277625570776255,1.2453280450552517,0.6226640225276259
